episode_id,guest_name,topic,question_order,question_category,is_template_question,question_text,source_path
2024-01-00-name,Name,TODO,1,background,True,How would you like us to introduce you?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,2,current_focus,True,What are you currently focused on—projects or themes you’d enjoy discussing?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,3,topic_selection,True,Which topics are you most keen to cover?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,4,topic_selection,True,Are there any topics you’d rather skip or avoid discussing publicly?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,5,practical_advice,False,"What vivid fact, problem, or provocative question will hook listeners?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,6,general,False,What quick stat or story first made you feel this topic matters?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,7,practical_advice,False,What key insight or skill will listeners gain?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,8,practical_advice,False,Who needs this advice most right now?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,9,general,False,Who wastes time or money if they ignore this?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,10,general,False,Is there a beginner group that keeps asking you about this?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,11,story_moments,False,"What 3-5 milestones or ideas should we cover, in order?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,12,business_impact,False,"What’s your role, and what single metric or result links you to this topic?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,13,general,False,How does your current job shape your viewpoint here?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,14,practical_advice,False,"What small action, resource, or reflection would you recommend next?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,15,general,False,Where does this story begin for you?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,16,general,False,Who or what first pulled you toward the topic?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,17,story_moments,False,"Which events, successes, or stumbles taught you the most?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,18,general,False,Is there a theme that keeps recurring in your work or study?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,19,background,False,Who might recognize their own journey in yours?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,20,current_focus,False,"What 3-5 main stops, projects, or challenges mark the path—listed in order?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,21,general,False,"What’s your current role, and what single experience ties you to this theme?",podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,22,general,False,What fact links present-you to this topic?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-00-name,Name,TODO,23,practical_advice,True,Are there any books or other resources that you can recommend to the listeners?,podcast_examples/Podcast/_template 2024-01-00 - Name - Topic.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",1,current_focus,False,How did you begin working on AI infrastructure?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",2,general,False,What specific challenges do AI engineers face with current infrastructure solutions?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",3,technical_deep_dive,False,How can infrastructure limit or hinder the deployment of AI models?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",4,future_outlook,False,What trends are you most excited about?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",5,future_outlook,False,What’s next for dstack?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",6,general,False,What is dstack?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",7,general,False,What does dstack offer?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",8,technical_deep_dive,False,"How does dstack compare to other tools, such as kubernetes or slurm?",podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",9,general,False,"Can you explain some of the concepts that a user will come in contact with when using dstack: what is, for example, a fleet?",podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",10,general,False,What dev environments are available?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",11,general,False,"How is dstack more resource (costs, GPU time) efficient than other solutions (is it)?",podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",12,general,False,Is dstack a paid service?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",13,future_outlook,False,What are the most significant challenges you see in the evolution of AI infrastructure in the near future?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-01-06-andrey-cheptsov,Andrey Cheptsov,"Redefining AI Infrastructure: Open-Source, Chips, and the Future Beyond Kubernetes",14,practical_advice,True,Are there any books or other resources that you can recommend to the listeners?,podcast_examples/Podcast/Archive/2024-01-06- Andrey Cheptsov- Trends in AI infrastructure.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,1,general,False,"What’s “specializes in phonetics, morpho-syntax, and sentiment analysis”?",podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,2,general,False,What is a speech disorder?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,3,general,False,Are there any speech disorders that are universal for all languages or are they always language specific?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,4,general,False,How do speech disorders interfere in ASR (automatic speech recognition)?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,5,technical_deep_dive,False,What can we do to help ASR systems to deal with such data?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,6,technical_deep_dive,False,How to collect such data?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,7,general,False,Can you explain the difference between Automatic Speech Recognition (ASR) for typical speech and ASR for disordered speech?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,8,general,False,What unique challenges arise when adapting ASR for individuals with speech disorders?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,9,general,False,What role does contrastive linguistics play in your research on ASR for disordered speech?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,10,general,False,How does comparing Polish and Italian languages help improve ASR systems?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,11,general,False,How do factors like dialects and regional accents influence ASR performance?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,12,general,False,Are these factors more or less challenging than speech disorders in speech recognition?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,13,general,False,What are the current limitations of ASR systems when dealing with disordered speech?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,14,general,False,How close are we to overcoming these limitations?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,15,future_outlook,False,What potential trends are you excited about?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-16-kasia-foremniak,Kasia Foremniak,Human-Centered AI for Disordered Speech Recognition,16,practical_advice,True,Are there any books or other resources that you can recommend to the listeners?,podcast_examples/Podcast/Archive/2024-09-16 - Kasia Foremniak - Human-Centered AI for Disordered Speech Recognition.docx
2024-09-26-alexey-grigorev,Alexey Grigorev,DataTalks.Club Anniversary Podcast,1,practical_advice,True,Are there any books or other resources that you can recommend to the listeners?,podcast_examples/Podcast/Archive/2024-09-26 - Alexey Grigorev - DataTalks.Club Anniversary Podcast.docx
2024-11-20-tamara-atanasoska,Tamara Atanasoska,A sociotechnical AI perspective,1,general,False,What inspired you to study both language and AI?,podcast_examples/Podcast/Archive/2024-11-20 - Tamara Atanasoska - Linguistics and Fairness.docx
2024-11-20-tamara-atanasoska,Tamara Atanasoska,A sociotechnical AI perspective,2,general,False,Why is understanding language so important when designing AI systems?,podcast_examples/Podcast/Archive/2024-11-20 - Tamara Atanasoska - Linguistics and Fairness.docx
2024-11-20-tamara-atanasoska,Tamara Atanasoska,A sociotechnical AI perspective,3,general,False,How do computational linguistics and engineering differ in their approach to language technology?,podcast_examples/Podcast/Archive/2024-11-20 - Tamara Atanasoska - Linguistics and Fairness.docx
2024-11-20-tamara-atanasoska,Tamara Atanasoska,A sociotechnical AI perspective,4,general,False,What inspired you to get involved with the Fairlearn project?,podcast_examples/Podcast/Archive/2024-11-20 - Tamara Atanasoska - Linguistics and Fairness.docx
2024-11-20-tamara-atanasoska,Tamara Atanasoska,A sociotechnical AI perspective,5,general,False,What are the main objectives of this project?,podcast_examples/Podcast/Archive/2024-11-20 - Tamara Atanasoska - Linguistics and Fairness.docx
