episode_id,source_file,source_url,title,season,episode,guest_ids,time,seconds,question_order,question_category,question_text,context_header
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,2:18,138,1,background,"As always, the questions for today's interview were prepared by Johanna Bayer. Thanks, Johanna, for your help. Let's start with the main topic: AI infrastructure. But before we dive into that, could you tell us about your career journey so far?",Episode Kickoff & Guest Introduction
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,3:07,187,2,general,You started coding in high school?,"Career Background: JetBrains, DataSpell, and Move into AI"
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,3:17,197,3,general,Don’t we all miss those days?,"Career Background: JetBrains, DataSpell, and Move into AI"
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,5:09,309,4,general,How did you decide to focus on this technology? What made you choose this problem to solve full-time?,"Career Background: JetBrains, DataSpell, and Move into AI"
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,10:27,627,5,general,How long have you been doing this?,Cloud-to-On-Prem Realities in the Post-ChatGPT Era
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,11:09,669,6,current_focus,"So, the next question is: how did you begin working on AI infrastructure? But I think you've partly answered that already. You started at JetBrains, right? You saw things related to machine learning, realized there was a problem, and started working on it.",Cloud-to-On-Prem Realities in the Post-ChatGPT Era
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,12:47,767,7,general,"Well, now you have to figure out how to get funding yourself, right? Previously, it was different.",Cloud-to-On-Prem Realities in the Post-ChatGPT Era
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,12:58,778,8,technical_deep_dive,"Speaking of open-source, why did you decide to work in the open? I see many companies starting as closed-source but eventually moving to open-source. Why did you choose to follow this model and make all your code open from the beginning?","Choosing Open Source: Developer Tools, Feedback, and Community"
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,17:33,1053,9,technical_deep_dive,"I don’t know the full story behind OpenAI either, but I think they initially released many things as open-source. GPT-2 was open-source, and they also released Whisper and CLIP. But when they released GPT-3, they realized it was a gold mine. They thought, maybe this is something we should keep closed, but then others started reproducing GPT-3 and matching its performance. Now, OpenAI releases something, and the open-source community tries to catch up. What’s your opinion on that? With closed-source solutions like OpenAI and GPT-3, which give great performance, versus open-source solutions, where you have many different models with various characteristics and use cases?",Open vs Proprietary Models: Business Models and Trade-Offs
20-1-ai-infrastructure-hybrid-cloud-on-prem-distributed-training,_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,https://github.com/DataTalksClub/datatalksclub.github.io/tree/main/_podcast/ai-infrastructure-hybrid-cloud-on-prem-distributed-training.md,"Post-ChatGPT AI Infrastructure: Open Source Orchestration, On-Prem Economics & Distributed Training at Scale",20,1,andreycheptsov,25:36,1536,10,technical_deep_dive,"Do you know if big companies, like Meta, contribute a lot to the open source community, especially in AI, with models like LLaMA? Do they publicly share information on how exactly they train their models and what their AI infrastructure is?","Decentralization in AI: Privacy, Control, and Industry Fit"
